house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
1 BHK Apartment ,600 sq ft,Pimple Nilakh,Pune,18.57625198,73.78787231,18000,INR,1,null,null,null,Posted 7 days ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in Vaishnavi Builders Pune Sahil Heights, one of the most prestigious projects of Pimple Nilakh. It has area of 600 sqft and is available at a rent of Rs. 18,000. Its main door is facing east direction. It is a 8 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,354 sq ft",Chinchwad,Pune,18.65039825,73.79167938,30000,INR,3,null,null,null,Posted a month ago,It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,200 sq ft",Hadapsar,Pune,18.51910019,73.9276123,33000,INR,2,null,null,null,Posted a year ago,"A 2 bhk property is available for rental in Magarpatta City Sylvania, Hadapsar, Pune. It has area of 1200 sqft and is available at a rent of Rs. 33,000. It is a semi-furnished property. It has lift available as well as intercom. The project also has power backup, children's play area, gymnasium, club house and community hall. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,950 sq ft,Gultekdi,Pune,18.48172569,73.86858368,25000,INR,2,null,null,null,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Swaraj Homes Ganatra Complex, Gultekdi. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Furnished
1 RK Studio Apartment ,350 sq ft,Karve Nagar,Pune,18.49023247,73.819664,11000,INR,1,null,null,null,Posted a month ago,"A spacious 1 rk multistorey apartment is available for rental in Karve Nagar, Pune. It has area of 350 sqft and is available at a rent of Rs. 11,000. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,400 sq ft",Baner,Pune,18.56738091,73.78688049,42000,INR,3,null,null,null,Posted a month ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Mantra Properties 99 Riverfront. It has an area of 1400 sqft with a carpet area of 1000 sqft . The property is available at a monthly rental of Rs. 42,000 . The house is semi-furnished. It has lift_available as well as power_backup. The project also has cctv, club_house, gymnasium, gated_community, swimming_pool, children's_play_area and community_hall. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"2,310 sq ft",Sopan Baug,Pune,18.51603508,73.90481567,60000,INR,3,null,null,null,Posted a month ago,"A 3 bhk property is available for rent in Sopan Baug, Pune. It is facing west direction. It is a 9 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",No Deposit,Unfurnished
2 BHK Apartment ,900 sq ft,Dhayari,Pune,18.45897293,73.78629303,16000,INR,2,null,null,null,Posted a month ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Nanded City Development Sarang. It has an area of 900 sqft with a carpet area of 710 sqft . The property is available at a monthly rental of Rs. 16,000 . The house is semi-furnished. It has swimming_pool. Other amenities include cctv, gated_community, lift_available, power_backup, full power backup, sports_facility, gymnasium, children's play area and community_hall. It is west facing property. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Semi-Furnished
4 BHK Apartment ,"3,800 sq ft",Koregaon Park,Pune,18.54000092,73.90000153,200000,INR,4,null,null,null,Posted a month ago,"A spacious 4 bhk multistorey apartment is available for rental in Vascon Engineers Windermere, Koregaon Park, Pune. It has an area of 3800 sqft with a carpet area of 2870 sqft . The property is available at a monthly rental of Rs. 2.00 lac . It is a semi-furnished property. It has intercom as well as swimming pool. The project also has gymnasium, gated community, cctv, power backup, lift available, children's play area and club house. It is facing east direction. It is a 8 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,400 sq ft",Kharadi,Pune,18.55271912,73.94644165,45000,INR,3,null,null,null,Posted a year ago,"It has an area of 1400 sqft with a carpet area of 1300 sqft . The property is available at a monthly rental of Rs. 45,000 . The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,750 sq ft,Gahunje,Pune,18.66391754,73.70794678,23000,INR,1,null,null,null,Posted 12 days ago,"Well designed 1 bhk multistorey apartment is available at a prime location in Lodha Group Lodha Belmondo. The house is semi-furnished. It has gymnasium as well as intercom. The project also has gated community, power backup, lift available, swimming pool, cctv, children's play area and club house. It is north facing property. It is a 6 year old ready-to-move-in property. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,900 sq ft,Hinjewadi,Pune,18.60011864,73.72468567,20000,INR,2,null,null,null,Posted a year ago,"Itâs a 3 bhk multistorey apartment situated in Shapoorji Pallonji Real Estate Joyville Hinjawadi, Hinjewadi, Pune. It has a built-up area of 900 sqft and is available for rent at Rs. 20,000 per month . The house is semi-furnished. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,610 sq ft,Chinchwad,Pune,18.63496017,73.7894516,14000,INR,1,null,null,null,Posted 2 months ago,"It has area of 610 sqft and is available at a rent of Rs. 14,000. It is a semi-furnished property. It is south facing property. It is made in way to provide a comfortable living. It is well connected to the city areas. ",No Deposit,Semi-Furnished
1 BHK Apartment ,550 sq ft,Yerawada,Pune,18.56578255,73.8832016,14000,INR,1,null,null,null,Posted a month ago,"Itâs a 1 bhk multistorey apartment situated in Yerawada, Pune. It has a built-up area of 550 sqft and is available for rent at Rs. 14,000 per month . The house is semi-furnished. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Villa ,"2,100 sq ft",Wagholi,Pune,18.58267593,73.97707367,32000,INR,3,null,null,null,Posted a year ago,"This spacious 3 bhk villa is available for rental and is located in Raviraj Realty Ozone Villas, one of the most prestigious projects of Wagholi. It has area of 2100 sqft and is available at a rent of Rs. 32,000. It is a furnished property. It is a 10 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Furnished
1 BHK Independent House ,300 sq ft,Chinchwad,Pune,18.63115883,73.79122162,8000,INR,2,null,null,null,Posted 10 days ago,"Itâs a 1 bhk independent house situated in Chinchwad. It has area of 300 sqft and is available at a rent of Rs. 8,000. The house is furnished. It is north facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Furnished
1 BHK Apartment ,627 sq ft,Chakan,Pune,18.75749969,73.85807037,7000,INR,2,null,null,null,Posted 3 days ago,"It has a built-up area of 627 sqft and is available for rent at Rs. 7,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",No Deposit,Semi-Furnished
2 BHK Apartment ,900 sq ft,Dhayari,Pune,18.44337654,73.81282043,17500,INR,2,null,null,null,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in VM Group Vijay Nagar, Dhayari. It has area of 900 sqft and is available at a rent of Rs. 17,500. It is a furnished property. It has 1 tv, 1 refrigerator, 1 washing machine and 1 microwave. It also has 1 gas connection and 1 bed. Kindly call us for details. ",No Deposit,Furnished
1 BHK Apartment ,550 sq ft,Wakad,Pune,18.59602737,73.75917053,20000,INR,1,null,null,null,Posted a month ago,"It has an area of 550 sqft with a carpet area of 450 sqft . The property is available at a monthly rental of Rs. 20,000 . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ",No Deposit,Semi-Furnished
1 RK Studio Apartment ,250 sq ft,Wanowrie,Pune,19.13683128,72.86800385,19000,INR,1,null,null,null,Posted 2 months ago,"A spacious 1 rk multistorey apartment is available for rental in Swaraj Homes Shivsagar CHS, Wanowrie, Pune. It is east facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,200 sq ft",Hingne Budrukh,Pune,26.83705139,80.93888092,18000,INR,2,null,null,null,Posted 22 days ago,"Itâs a 2 bhk multistorey apartment situated in Prakash Apartment, Hingne Budrukh, Pune. It has an area of 1200 sqft with a carpet area of 1000 sqft . The property is available at a monthly rental of Rs. 18,000 . It is a semi-furnished property. It is facing northwest direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Semi-Furnished
4 BHK Apartment ,"2,000 sq ft",Talegaon Dabhade,Pune,18.72934914,73.64609528,35000,INR,4,null,null,null,Posted 11 days ago,"A 4 bhk property is available for rental in Tata Value Homes La Montana, Talegaon Dabhade, Pune. It has a built-up area of 2000 sqft and is available for rent at Rs. 35,000 per month . It is a semi-furnished property. It has swimming pool as well as intercom. The project also has sports facility, community hall, gymnasium, children's play area, club house, power backup and lift available. It is made in way to provide a comfortable living for the residents. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,650 sq ft",Wakad,Pune,18.59318161,73.77986908,55000,INR,3,null,null,null,Posted 5 days ago,"Itâs a 3 bhk multistorey apartment situated in Pride Purple Group Park Titanium, Wakad, Pune. It has an area of 1650 sqft with a carpet area of 1250 sqft . The property is available at a monthly rental of Rs. 55,000 . It is facing east direction. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment ,"1,400 sq ft",Baner,Pune,28.66072845,77.37116241,20000,INR,2,null,null,null,Posted 22 days ago,"Prop situated at near budh chowk and close to market More is on next building Amity school just opposite More About This Property If you are looking for a modern house on rent in Ghaziabad, this Apartment in Sector 7 Vasundhara can be your perfect home. It is a 3 BHK Apartment designed to meet your space and lifestyle needs. The 3 BHK unit is Semi Furnished. This rented 3 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 2 out of a total 4 floors . The Apartment has 3 bedrooms and 2 bathroom. It also has 2 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Apartment. It is a North facing Apartment designed as per vaastu principles. The carpet area of this unit is 1250 Square feet. The built-up area is 1400 Square feet. The monthly rent payable for this Apartment is Rs 20000. The security deposit is Rs 20000. Project Highlights The project also offers 3 BHK units",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,200 sq ft",Chikhali,Pune,18.68061447,73.82879639,13000,INR,2,null,null,null,Posted 3 years ago,"It has area of 1200 sqft and is available at a rent of Rs. 13,000. It is a semi-furnished property. It is east facing property. It is a 3 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,905 sq ft,Wakad,Pune,18.5906601,73.77902985,18000,INR,2,null,null,null,Posted 3 years ago,"It has an area of 905 sqft with a carpet area of 615 sqft . The property is available at a monthly rental of Rs. 18,000 . The house is semi-furnished. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,650 sq ft,Baner,Pune,18.55978584,73.77967834,15000,INR,1,null,null,null,Posted 2 years ago,"Well designed 1 bhk multistorey apartment is available at a prime location in Baner. It has area of 650 sqft and is available at a rent of Rs. 15,000. It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment ,754 sq ft,Loni Kalbhor,Pune,18.48707962,74.01500702,10000,INR,2,null,null,null,Posted 2 years ago,"Itâs a 2 bhk multistorey apartment situated in Swaraj Homes Shivdarshan Residency, Loni Kalbhor, Pune. It has a built-up area of 754 sqft and is available for rent at Rs. 10,000 per month . The house is unfurnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Unfurnished
4 BHK Villa ,"6,000 sq ft",Baner,Pune,18.55982018,73.78572845,90000,INR,null,null,null,null,Posted 4 years ago,"This spacious 4 bhk villa is available for rental and is located in the heart of Baner. It has a built-up area of 6000 sqft and is available for rent at Rs. 90,000 per month . This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Furnished
4 BHK Apartment ,"2,200 sq ft",Pashan,Pune,23.02228737,72.50914001,55002,INR,4,null,null,null,Posted 21 days ago,"Well designed 4 bhk multistorey apartment is available at a prime location in Swaraj Homes Amaltas Apartment. It has area of 2200 sqft and is available at a rent of Rs. 55,002. It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 dining table, 1 gas connection, 1 ac and 1 bed. Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",No Deposit,Furnished
2 BHK Apartment ,"1,000 sq ft",Viman Nagar,Pune,18.56719398,73.91213989,21000,INR,2,null,null,null,Posted 3 years ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Lunkad Realty Lunkad Zodiac. It has an area of 1000 sqft with a carpet area of 895 sqft . The property is available at a monthly rental of Rs. 21,000 . It is a furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment ,"1,000 sq ft",Sukhsagar Nagar,Pune,18.41939735,73.85161591,12000,INR,2,null,null,null,Posted 2 years ago,"A 2 bhk property is available for rent in Sukhsagar Nagar, Pune. It has a built-up area of 1000 sqft and is available for rent at Rs. 12,000 per month . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,730 sq ft,Bavdhan,Pune,18.52026939,73.76664734,13500,INR,1,null,null,null,Posted 3 years ago,"A spacious 1 bhk multistorey apartment is available for rental in RK Lifespaces Majestic, Bavdhan, Pune. It has area of 730 sqft and is available at a rent of Rs. 13,500. The house is semi-furnished. It is facing east direction. It is situated in the proximity of all the important facilities. ",No Deposit,Semi-Furnished
1 BHK Apartment ,621 sq ft,Yerawada,Pune,18.55448723,73.89758301,28000,INR,1,null,null,null,Posted a month ago,"It has area of 621 sqft and is available at a rent of Rs. 28,000. It is a furnished property. Its main door is facing east direction. This residential property is ready-to-move-in. It is well connected to the city areas. ",No Deposit,Furnished
3 BHK Apartment ,"1,600 sq ft",Baner,Pune,18.55174637,73.78198242,45000,INR,3,null,null,null,Posted a month ago,"A 3 bhk property is available for rental in Pride Housing Platinum I And J, Baner, Pune. It has an area of 1600 sqft with a carpet area of 1230 sqft . The property is available at a monthly rental of Rs. 45,000 . It is a semi-furnished property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,800 sq ft,Hadapsar,Pune,18.52124214,73.93656921,32000,INR,2,null,null,null,Posted a month ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in Amanora Group Adreno Towers, one of the most prestigious projects of Hadapsar. It is a semi-furnished property. It is a 3 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,980 sq ft,Lohegaon,Pune,18.60525894,73.91014862,21000,INR,2,null,null,null,Posted a month ago,"A spacious 2 bhk multistorey apartment is available for rental in Natraj Group Vela Enclave, Lohegaon, Pune. It has area of 980 sqft and is available at a rent of Rs. 21,000. The house is unfurnished. It is facing east direction. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Unfurnished
3 BHK Villa ,"2,000 sq ft",Wagholi,Pune,18.58479881,73.97431183,36000,INR,3,null,null,null,Posted a month ago,"Itâs a 3 bhk villa situated in BU Bhandari Chrrysalis, Wagholi, Pune. It has an area of 2000 sqft with a carpet area of 1800 sqft . The property is available at a monthly rental of Rs. 36,000 . The house is semi-furnished. It has power backup. Other amenities include children's play area, swimming pool, gymnasium and club house. It is facing east direction. It is a 11 year old ready-to-move-in property. It is made in way to provide a comfortable living. Please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,680 sq ft,Viman Nagar,Pune,18.56602287,73.9102478,27000,INR,1,null,null,null,Posted a month ago,"1bhk Fully furnished flat for rent near Symbiosis college.
Student Allowed .
Big Society with all amenity.
please call for more details. More About This Property Are you looking for an affordable Apartment for rent in Pune?. Here is a spacious 1 BHK Apartment in Viman Nagar, promising a comfortable lifestyle. The Apartment is fully furnished. Built on floor 3 out of a total 7 floors, it is an ideal home providing beautiful views of the city?s skyline. This property is designed to suit your space needs and has 1 bedroom and 1 bathroom. It also includes 1 balcony. This rented Apartment is East facing and compliant with vaastu Shastra principles. Nestled inside a gated society, this 1 BHK Apartment is a perfect accommodation for families seeking a contemporary lifestyle. The built-up area of the residential property is 680 square_feet. The carpet area of this modern rented Apartment is 630 square_feet. There is also a provision of lift facility that gives convenience to the families, especially senior citizens. The property is equipped with power backup facility. The Apartment is available for a monthly rent of Rs 27000. The security deposit payable is Rs 27000. Project Highlights The developer is known for delivering quality projects in Pune. There are attractive amenities available for the residents of this Apartment that fulfil all the needs of a modern-day lifestyle. There are various new-age facilities such as Gym, Garden, Sports facility, Swimming pool, Intercom, Clubhouse, Community hall. Latest safety features like cctv facility have been included in this property to ensure a secure environment for the residents",No Deposit,Furnished
1 BHK Apartment ,550 sq ft,Undri,Pune,18.44833183,73.92327881,11000,INR,1,null,null,null,Posted 23 days ago,"Well designed 1 bhk multistorey apartment is available at a prime location in Godrej Properties Prana. It has a built-up area of 550 sqft and is available for rent at Rs. 11,000 per month . The house is semi-furnished. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
