house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
4 BHK Apartment ,"1,900 sq ft",Goregaon West,Mumbai,19.17330933,72.84157562,175000,INR,4,null,null,null,Posted a month ago,"It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Furnished
1 BHK Apartment ,750 sq ft,Colaba,Mumbai,18.91975021,72.8295517,100000,INR,2,null,null,null,Posted 2 months ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in the heart of Colaba. It has area of 750 sqft and is available at a rent of Rs. 1.00 lac. The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Furnished
2 BHK Apartment ,"1,150 sq ft",Kalamboli,Mumbai,19.03683662,73.090065,20000,INR,2,null,null,null,Posted 2 months ago,"A 2 bhk property is available for rental in Crown Imperial Tower, Kalamboli, Mumbai. It has a built-up area of 1150 sqft and is available for rent at Rs. 20,000 per month . It is an unfurnished property. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,400 sq ft",Ulwe,Mumbai,18.98021317,73.02484894,35000,INR,3,null,null,null,Posted 2 months ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Ulwe. It has area of 1400 sqft and is available at a rent of Rs. 35,000. The house is semi-furnished. It is west facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,246 sq ft",Panvel,Mumbai,18.95307922,73.14958191,12000,INR,3,null,null,null,Posted 2 months ago,"If you are looking for a modern house on rent in Mumbai, this Apartment in Kon can be your perfect home. It is a 2 BHK Apartment designed to meet your space and lifestyle needs. The 2 BHK unit is Semi Furnished. This rented 2 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 30 out of a total 37 floors . The Apartment has 2 bedrooms and 3 bathroom. There is lush greenery around this Apartment. It is a North-East facing Apartment designed as per vaastu principles. The carpet area of this unit is 834 Square feet. The built-up area is 1246 Square feet. Project Highlights The project also offers 2 BHK units. Residents can access numerous facilities, including Gym, Garden, Sports Facility, Swimming Pool, Intercom. This Apartment provides power backup facility for the residents. It is equipped with the latest security features like cctv facility, ensuring a secure environment for families. There is a state-of-the-art lift facility",No Deposit,Semi-Furnished
1 BHK Apartment ,650 sq ft,Palghar,Mumbai,19.65348625,72.71968842,4500,INR,2,null,null,null,Posted a month ago,"It has a built-up area of 650 sqft and is available for rent at Rs. 4,500 per month . It is a semi-furnished property. It is west facing property. It is a 4 year old ready-to-move-in property. It is well connected to the city areas. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,000 sq ft",Nerul,Mumbai,19.02084732,73.02590179,28000,INR,2,null,null,null,Posted a month ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Nerul. It has an area of 1000 sqft with a carpet area of 800 sqft . The property is available at a monthly rental of Rs. 28,000 . It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,300 sq ft",Kandivali East,Mumbai,19.21083069,72.8747406,77000,INR,2,null,null,null,Posted a month ago,"A 3 bhk property is available for rent in Kandivali East, Mumbai. It has a built-up area of 1300 sqft and is available for rent at Rs. 77,000 per month . The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has club house. Other amenities include gymnasium, power backup, lift available and swimming pool. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",No Deposit,Furnished
3 BHK Apartment ,"1,050 sq ft",Sion,Mumbai,19.04330826,72.86363983,175000,INR,3,null,null,null,Posted a month ago,"A spacious 3 bhk multistorey apartment is available for rental in Dosti Group Elite, Sion, Mumbai. It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Furnished
2 BHK Apartment ,750 sq ft,Andheri West,Mumbai,19.12363625,72.83045959,55000,INR,2,null,null,null,Posted a month ago,"It has a built-up area of 750 sqft and is available for rent at Rs. 55,000 per month . It is a 8 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ",No Deposit,Unfurnished
4 BHK Apartment ,"1,900 sq ft",Juhu,Mumbai,19.1133461,72.83358002,360000,INR,4,null,null,null,Posted a month ago,"Itâs a 4 bhk multistorey apartment situated in Juhu, Mumbai. It has an area of 1900 sqft with a carpet area of 1850 sqft . The property is available at a monthly rental of Rs. 3.60 lac . It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,360 sq ft",Vasai,Mumbai,19.3658886,72.8132019,21500,INR,2,null,null,null,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Star Enterprises Morning Star, Vasai. It has area of 1360 sqft and is available at a rent of Rs. 21,500. The house is semi-furnished. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,710 sq ft,Thakurli,Mumbai,19.22567177,73.10028076,13000,INR,1,null,null,null,Posted a month ago,"A 1 bhk property is available for rent in Thakurli, Mumbai. It has area of 710 sqft and is available at a rent of Rs. 13,000. The house is semi-furnished. It has 1 sofa, 1 gas connection, 1 ac and 1 bed. Its main door is facing northeast direction. It is a 8 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,950 sq ft,Powai,Mumbai,19.11515236,72.90356445,60000,INR,2,null,null,null,Posted a month ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in Panchvati, one of the most prestigious projects of Powai. It has an area of 950 sqft with a carpet area of 750 sqft . The property is available at a monthly rental of Rs. 60,000 . The house is furnished. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ",No Deposit,Furnished
3 BHK Apartment ,"1,050 sq ft",Andheri West,Mumbai,19.14553833,72.822258,90000,INR,3,null,null,null,Posted a month ago,"Itâs a 3 bhk multistorey apartment situated in Versova Neptune Apartment, Andheri West. It has area of 1050 sqft and is available at a rent of Rs. 90,000. It is north facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"2,000 sq ft",Jogeshwari East,Mumbai,19.13976288,72.86218262,145000,INR,3,null,null,null,Posted a month ago,Itâs a 3 bhk multistorey apartment situated in Jogeshwari East. It has a built-up area of 2000 sqft and is available for rent at Rs. 1.45 lac per month . It is a semi-furnished property. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. ,No Deposit,Semi-Furnished
1 BHK Independent Floor ,500 sq ft,Mira Road East,Mumbai,21.23942184,81.66488647,7500,INR,1,null,null,null,Posted a month ago,"It has area of 500 sqft and is available at a rent of Rs. 7,500. It is north facing property. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Unfurnished
1 BHK Apartment ,700 sq ft,Thane West,Mumbai,19.21168327,73.01448822,18000,INR,2,null,null,null,Posted a month ago,"Well designed 1 bhk multistorey apartment is available at a prime location in Mehta Group Riviera. It has a built-up area of 700 sqft and is available for rent at Rs. 18,000 per month . It is a semi-furnished property. It is north facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"2,175 sq ft",Parel,Mumbai,18.99790382,72.84116364,230000,INR,3,null,null,null,Posted a month ago,The house is semi-furnished. It is facing northwest direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ,No Deposit,Semi-Furnished
3 BHK Villa ,"2,800 sq ft",Powai,Mumbai,19.12285423,72.91291046,145000,INR,2,null,null,null,Posted a month ago,"This spacious 3 bhk villa is available for rental and is located in GHP Group Powai Vihar Complex, one of the most prestigious projects of Powai. It has a built-up area of 2800 sqft and is available for rent at Rs. 1.45 lac per month . It has power backup as well as club house. The project also has gymnasium and swimming pool. It is northwest facing property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Unfurnished
2 BHK Apartment ,650 sq ft,Prabhadevi,Mumbai,19.01498032,72.82868195,90000,INR,2,null,null,null,Posted a month ago,"A spacious 2 bhk multistorey apartment is available for rental in Prabhadevi, Mumbai. It has area of 650 sqft and is available at a rent of Rs. 90,000. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",No Deposit,Semi-Furnished
2 BHK Apartment ,750 sq ft,Ghatkopar East,Mumbai,19.08686066,72.91500092,50000,INR,3,null,null,null,Posted a month ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in Gurukrupa Realcon Ugam, one of the most prestigious projects of Ghatkopar East. It has an area of 750 sqft with a carpet area of 650 sqft . The property is available at a monthly rental of Rs. 50,000 . Its main door is facing northeast direction. It is a ready-to-move-in property. It is well connected to the city areas. Please contact for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,670 sq ft,Kalyan West,Mumbai,19.25585938,73.13314819,13000,INR,2,null,null,null,Posted a month ago,"It has area of 670 sqft and is available at a rent of Rs. 13,000. It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,275 sq ft,Dadar East,Mumbai,19.01052475,72.84575653,18500,INR,1,null,null,null,Posted 23 days ago,"If you are looking for a modern house on rent in Mumbai, this Apartment in Dadar East can be your perfect home. It is a 1 BHK Apartment designed to meet your space and lifestyle needs. The 1 BHK unit is Unfurnished. This rented 1 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 15 out of a total 24 floors . The Apartment has 1 bedroom and 1 bathroom. It also has 1 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Apartment. The carpet area of this unit is 225 Square feet. The built-up area is 275 Square feet. The monthly rent payable for this Apartment is Rs 18500. The security deposit is Rs 18500. Project Highlights The project also offers 1 BHK units",No Deposit,Unfurnished
2 BHK Apartment ,"1,075 sq ft",Chembur,Mumbai,19.04731178,72.89689636,68000,INR,2,null,null,null,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Chembur, Mumbai. It has an area of 1075 sqft with a carpet area of 826 sqft . The property is available at a monthly rental of Rs. 68,000 . The house is unfurnished. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,000 sq ft",vile parle west,Mumbai,19.10355759,72.84113312,125000,INR,2,null,null,null,Posted a month ago,Itâs a 3 bhk multistorey apartment situated in vile parle west. It has an area of 1000 sqft with a carpet area of 900 sqft . The property is available at a monthly rental of Rs. 1.25 lac . It is a furnished property. It is facing north direction. It is made in way to provide a comfortable living for the residents. ,No Deposit,Furnished
1 BHK Apartment ,750 sq ft,Bhandup West,Mumbai,19.15442848,72.93182373,24000,INR,2,null,null,null,Posted 18 days ago,"It has an area of 750 sqft with a carpet area of 530 sqft . The property is available at a monthly rental of Rs. 24,000 . It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,005 sq ft",Borivali East,Mumbai,19.22160912,72.8599472,55000,INR,3,null,null,null,Posted a month ago,"A 3 bhk property is available for rental in Pavan Sheth And Associates Park Residency, Borivali East, Mumbai. It has an area of 1005 sqft with a carpet area of 750 sqft . The property is available at a monthly rental of Rs. 55,000 . It is a semi-furnished property. It is north facing property. It is situated in the proximity of all the important facilities. ",No Deposit,Semi-Furnished
1 RK Studio Apartment ,380 sq ft,Kandivali East,Mumbai,19.207407,72.87836456,20000,INR,1,null,null,null,Posted a month ago,"Itâs a 1 rk multistorey apartment situated in RNA NG Builders Suncity, Kandivali East, Mumbai. It has a built-up area of 380 sqft and is available for rent at Rs. 20,000 per month . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,850 sq ft,Bandra West,Mumbai,19.13842583,72.82830811,65000,INR,2,null,null,null,Posted a month ago,"A 2 bhk property is available for rental in Victoria Apartments, Bandra West, Mumbai. It has a built-up area of 850 sqft and is available for rent at Rs. 65,000 per month . It is an unfurnished property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ",No Deposit,Unfurnished
2 BHK Apartment ,900 sq ft,Andheri East,Mumbai,19.11651802,72.8895874,50000,INR,2,null,null,null,Posted 11 days ago,"It has area of 900 sqft and is available at a rent of Rs. 50,000. The house is furnished. It is a 23 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ",No Deposit,Furnished
2 BHK Apartment ,960 sq ft,Badlapur East,Mumbai,19.15496826,73.23058319,9000,INR,2,null,null,null,Posted 4 days ago,"A spacious 2 bhk multistorey apartment is available for rental in Badlapur East, Mumbai. The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. ",No Deposit,Semi-Furnished
1 BHK Apartment ,596 sq ft,Borivali East,Mumbai,19.2192421,72.87139893,26500,INR,2,null,null,null,Posted a day ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in HDIL Dheeraj Upvan 2, one of the most prestigious projects of Borivali East. It has gated_community. Other amenities include children's_play_area, cctv, lift available, power backup and intercom facility. It is a 20 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Unfurnished
4 BHK Apartment ,"3,600 sq ft",Nerul,Mumbai,19.03691483,73.0173111,175000,INR,2,null,null,null,Posted a month ago,"This spacious 4 bhk multistorey apartment is available for rental and is located in Palm Beach Society, one of the most prestigious projects of Nerul. It has a built-up area of 3600 sqft and is available for rent at Rs. 1.75 lac per month . It is a semi-furnished property. It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"2,200 sq ft",Mahalaxmi,Mumbai,19.00593376,72.82901764,280000,INR,2,null,null,null,Posted a month ago,"It has an area of 2200 sqft with a carpet area of 1900 sqft . The property is available at a monthly rental of Rs. 2.80 lac . It is a semi-furnished property. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,075 sq ft",Kanjurmarg,Mumbai,19.1339817,72.93009186,85000,INR,2,null,null,null,Posted a month ago,"A spacious 2 bhk multistorey apartment is available for rental in Mahindra Lifespaces Developers The Great Eastern Gardens, Kanjurmarg, Mumbai. It has a built-up area of 1075 sqft and is available for rent at Rs. 85,000 per month . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Furnished
3 BHK Apartment ,"1,700 sq ft",Seawoods,Mumbai,19.02178192,73.0182724,88000,INR,3,null,null,null,Posted a month ago,"A spacious 3 bhk multistorey apartment is available for rental in L And T Realty Seawoods Residences North Towers, Seawoods, Mumbai. It has area of 1700 sqft and is available at a rent of Rs. 88,000. It is facing east direction. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,650 sq ft,Andheri West,Mumbai,19.12942696,72.82150269,52000,INR,1,null,null,null,Posted 17 days ago,"It has a built-up area of 650 sqft and is available for rent at Rs. 52,000 per month . It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Furnished
1 BHK Apartment ,550 sq ft,Dombivali East,Mumbai,19.20812416,73.10401154,12000,INR,1,null,null,null,Posted 18 days ago,"It has a built-up area of 550 sqft and is available for rent at Rs. 12,000 per month . The house is unfurnished. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Unfurnished
4 BHK Apartment ,"2,100 sq ft",Thane West,Mumbai,19.24331856,72.97618103,135000,INR,3,null,null,null,Posted a month ago,"The house is unfurnished. It has swimming pool as well as gated_community. The project also has lift available, car parking, power backup, cctv, community hall, club house, children's play area and gymnasium. It is east facing property. It is a 5 year old ready-to-move-in property. If you are interested, please contact us for more details. ",No Deposit,Unfurnished
1 BHK Apartment ,715 sq ft,Titwala,Mumbai,19.29587364,73.20278931,8500,INR,1,null,null,null,Posted 2 months ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in Regency Group Sarvam Phase 12, one of the most prestigious projects of Titwala. It has area of 715 sqft and is available at a rent of Rs. 8,500. The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Unfurnished
3 BHK Apartment ,"1,568 sq ft",Chembur,Mumbai,19.06196213,72.89355469,75000,INR,2,null,null,null,Posted 18 days ago,"Itâs a 3 bhk multistorey apartment situated in MM Group Spectra, Chembur, Mumbai. It has a built-up area of 1568 sqft and is available for rent at Rs. 75,000 per month . The house is unfurnished. Its main door is facing north direction. It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Unfurnished
1 BHK Apartment ,545 sq ft,Vasai,Mumbai,19.40745163,72.82662964,9000,INR,1,null,null,null,Posted 2 months ago,"This is a well-designed 1 BHK Apartment available for rent. It is situated in a prime location of Mumbai at Vasai East. This modern Apartment is Semi Furnished. The 1 BHK unit fulfills all the needs of a modern lifestyle for families. There is a total of 7 floors. This unit is on 6 floor. The Apartment provides complete comfort for the residents. The Apartment lets you enjoy the lush greenery around. Meticulously designed to meet your housing needs, this unit has 1 bedroom and 1 bathroom. It includes 2 balcony allowing residents to catch a glimpse of the city?s skyline. The total built-up area is 545 Square feet. Project Highlights This 1 BHK unit has developed within the residential project Rashmi Housing Rashmi Residency. The developer also offers 1 BHK units as part of the Rashmi Housing Rashmi Residency. Numerous facilities have been provided for the comfort of the residents of this Apartment. This gated society at Vasai East brings all the modern conveniences to your doorstep. The locality is well-developed and gives access to important landmarks of Mumbai",No Deposit,Semi-Furnished
1 BHK Apartment ,685 sq ft,Karanjade,Mumbai,18.97242546,73.11148834,7500,INR,2,null,null,null,Posted a month ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in Yashrang Developers Bhaveshwar Icon, one of the most prestigious projects of Karanjade. It has an area of 685 sqft with a carpet area of 422 sqft . The property is available at a monthly rental of Rs. 7,500 . It is an unfurnished property. It is east facing property. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment ,650 sq ft,Thane West,Mumbai,19.23654938,72.96591187,33000,INR,2,null,null,null,Posted a month ago,"It has area of 650 sqft and is available at a rent of Rs. 33,000. The house is semi-furnished. It is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,208 sq ft",Ulwe,Mumbai,18.96935654,73.01952362,16000,INR,2,null,null,null,Posted 4 months ago,"Itâs a 2 bhk multistorey apartment situated in Ulwe, Mumbai. The house is semi-furnished. It is facing east direction. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment ,550 sq ft,Girgaon,Mumbai,18.95569611,72.82301331,60000,INR,2,null,null,null,Posted 4 days ago,"A spacious 1 bhk multistorey apartment is available for rental in Mehta Developers Heights, Girgaon, Mumbai. It has an area of 550 sqft with a carpet area of 450 sqft . The property is available at a monthly rental of Rs. 60,000 . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Semi-Furnished
1 RK Studio Apartment ,350 sq ft,Andheri East,Mumbai,19.11567116,72.88295746,27000,INR,1,null,null,null,Posted a month ago,"It has a built-up area of 350 sqft and is available for rent at Rs. 27,000 per month . It is a semi-furnished property. It has 1 refrigerator, 1 microwave, 1 gas connection and 1 ac. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,000 sq ft",Thane West,Mumbai,19.25835991,72.98197174,47000,INR,2,null,null,null,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Hiranandani Developers Eagleridge Wing A, Thane West, Mumbai. It has a built-up area of 1000 sqft and is available for rent at Rs. 47,000 per month . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,875 sq ft,Andheri East,Mumbai,19.10572433,72.88311005,64800,INR,2,null,null,null,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Andheri East, Mumbai. The house is semi-furnished. It is facing west direction. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,100 sq ft",Thane West,Mumbai,19.22521782,72.97000885,40000,INR,3,null,null,null,Posted a month ago,"Itâs a 3 bhk multistorey apartment situated in Kanakia Spaces Realty Niharika, Thane West. The house is semi-furnished. It has children's play area. Other amenities include power backup, swimming pool, club house, intercom facility, gymnasium and lift available. It is facing east direction. It is a 16 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
